slug|id|url
TransferDetail|ZW-60|https://linear.app/zwo/issue/ZW-60/mobile-transferdetail-transfersid
TransferCreate|ZW-62|https://linear.app/zwo/issue/ZW-62/mobile-transfercreate-transferscreate
CategoryDetail|ZW-64|https://linear.app/zwo/issue/ZW-64/mobile-categorydetail-categoriesid
LocationDetail|ZW-66|https://linear.app/zwo/issue/ZW-66/mobile-locationdetail-locationsid
PurchaseOrderDetail|ZW-68|https://linear.app/zwo/issue/ZW-68/mobile-purchaseorderdetail-purchase-ordersid
PurchaseOrders|ZW-77|https://linear.app/zwo/issue/ZW-77/mobile-purchaseorders-purchase-orders
AccountingOrders|ZW-80|https://linear.app/zwo/issue/ZW-80/mobile-accountingorders-accounting
SupplierCreate|ZW-86|https://linear.app/zwo/issue/ZW-86/mobile-suppliercreate-supplierscreate
PersonnelList|ZW-90|https://linear.app/zwo/issue/ZW-90/mobile-personnellist-personnel
SchoolList|ZW-92|https://linear.app/zwo/issue/ZW-92/mobile-schoollist-schools
